idx,params_1,params_2,params_3,params_4,fitness_1,gen,train_params,archt_scores
0,7.0,29.0,18.0,3.0,6.4468,0.0,145032,762.2607961974597
1,5.0,21.0,20.0,26.0,6.494,0.0,317306,673.2209515942368
2,5.0,20.0,16.0,38.0,6.7427,0.0,412861,671.1362116342185
3,4.0,21.0,9.0,19.0,6.669,0.0,215652,621.4055121376812
4,3.0,29.0,8.0,40.0,6.4249,0.0,598984,651.2916702874018
5,5.0,22.0,27.0,39.0,6.5301,0.0,494043,677.240462402789
6,3.0,14.0,8.0,47.0,6.8093,0.0,335359,577.2182351604579
7,2.0,26.0,15.0,31.0,6.5533,0.0,421613,535.6389856567424
8,9.0,8.0,16.0,28.0,6.9193,0.0,123385,631.3118509941872
9,6.0,24.0,25.0,14.0,6.5094,0.0,252425,724.5964236877683
10,9.0,20.0,19.0,34.0,6.4813,0.0,409261,698.6778786133691
11,5.0,6.0,30.0,36.0,6.9401,0.0,116671,562.1824935160075
12,1.0,7.0,28.0,26.0,7.6671,0.0,95448,0.0
13,1.0,24.0,20.0,22.0,7.47,0.0,274065,487.8223816550062
14,4.0,28.0,15.0,46.0,6.5401,0.0,688713,688.4252459223737
15,2.0,11.0,23.0,15.0,6.7589,0.0,90666,410.5861483707198
16,4.0,30.0,9.0,35.0,6.9769,0.0,555521,640.2647885156166
17,8.0,7.0,7.0,21.0,7.4357,0.0,77358,331.20256556126066
18,9.0,20.0,8.0,20.0,6.8149,0.0,229381,670.5993992875232
19,9.0,14.0,27.0,8.0,6.7716,0.0,106183,712.8538100066197
20,9.0,15.0,22.0,14.0,6.4958,0.0,151616,780.0218032429901
21,10.0,22.0,23.0,19.0,6.3932,0.0,319909,744.8090403689561
22,8.0,7.0,24.0,25.0,6.7034,0.0,99649,653.8405757797638
23,6.0,23.0,12.0,19.0,6.6175,0.0,256279,698.2976671168555
24,3.0,11.0,10.0,3.0,6.9555,0.0,21214,400.485746501147
25,10.0,26.0,13.0,31.0,6.3497,0.0,489733,777.0082588286351
26,2.0,7.0,26.0,49.0,7.2518,0.0,177409,431.00943388529026
27,3.0,9.0,6.0,6.0,7.2019,0.0,29200,140.88662876190963
28,9.0,26.0,17.0,46.0,6.5755,0.0,699931,741.0248646053893
29,9.0,13.0,21.0,16.0,6.8806,0.0,138290,697.5856117248296
30,4.0,26.0,23.0,27.0,6.4233,0.0,410249,704.6735242827748
31,10.0,13.0,19.0,32.0,6.4235,0.0,242610,733.1861648681321
32,6.0,7.0,15.0,40.0,7.2425,0.0,146618,517.7455932841107
33,2.0,20.0,23.0,41.0,6.6542,0.0,429261,562.9984518050346
34,6.0,11.0,12.0,2.0,6.9238,0.0,21007,576.4355050995906
35,5.0,8.0,27.0,15.0,7.4037,0.0,71573,553.2715264958624
36,6.0,30.0,10.0,22.0,6.3628,0.0,381621,756.6553442372217
37,7.0,6.0,8.0,10.0,7.4383,0.0,32931,95.98977891186547
38,4.0,6.0,23.0,41.0,7.1108,0.0,129089,522.8384841728719
39,9.0,24.0,26.0,5.0,6.8227,0.0,192605,799.5274626408125
40,1.0,8.0,25.0,13.0,8.4775,0.0,56269,166.6488164805047
41,10.0,23.0,8.0,26.0,7.0649,0.0,341519,806.7827825271585
42,2.0,16.0,8.0,3.0,6.78,0.0,28701,321.05351001646164
43,10.0,5.0,11.0,12.0,8.1702,0.0,33866,630.629519975315
44,2.0,20.0,11.0,47.0,6.7874,0.0,479781,554.9202622035409
45,1.0,26.0,5.0,35.0,7.9824,0.0,458327,402.1491104940265
46,7.0,24.0,8.0,17.0,6.6529,0.0,235997,721.4177729606897
