"idx","params_1","params_2","params_3","params_4","fitness_1","gen","train_params","archt_scores"
0,7,29,18,3,6.3,0,145032,2762.91888550231
1,5,21,20,26,6.4702,0,317306,2238.77882824253
2,5,20,16,38,6.6003,0,412861,2336.12111432566
3,4,21,9,19,6.6058,0,215652,1998.46822621854
4,3,29,8,40,6.4899,0,598984,2061.18618527624
5,5,22,27,39,6.2383,0,494043,2479.03559185486
6,3,14,8,47,7.2248,0,335359,1452.29058617449
7,2,26,15,31,6.583,0,421613,1835.72202479243
8,9,8,16,28,7.6187,0,123385,2499.33645372688
9,6,24,25,14,6.338,0,252425,2269.26355897576
10,9,20,19,34,6.3596,0,409261,2812.17634831583
11,5,6,30,36,7.3962,0,116671,2103.26330225378
12,1,7,28,26,9.1501,0,95448,0
13,1,24,20,22,8.2582,0,274065,0
14,4,28,15,46,6.4642,0,688713,2540.06594340317
15,2,11,23,15,6.8708,0,90666,1190.6115199712
16,4,30,9,35,6.5657,0,555521,2257.52495668204
17,8,7,7,21,8.2017,0,77358,1397.53613846077
18,9,20,8,20,6.6095,0,229381,2800.6155165454
19,9,14,27,8,6.4962,0,106183,2591.86329885558
20,9,15,22,14,6.3867,0,151616,2532.53843651475
21,10,22,23,19,6.4416,0,319909,3051.5259110778
22,8,7,24,25,6.9776,0,99649,1074.57546730205
23,6,23,12,19,6.3763,0,256279,2154.95745099941
24,3,11,10,3,7.345,0,21214,0
25,10,26,13,31,6.3003,0,489733,3010.93391024946
26,2,7,26,49,7.2234,0,177409,0
27,3,9,6,6,7.9187,0,29200,0
28,9,26,17,46,6.3537,0,699931,3005.11861679869
29,9,13,21,16,6.7433,0,138290,2651.62735677396
30,4,26,23,27,6.4872,0,410249,2331.19165364884
31,10,13,19,32,6.8422,0,242610,2916.39680857235
32,6,7,15,40,7.3241,0,146618,1696.16388314556
33,2,20,23,41,6.5634,0,429261,1543.83960831857
34,6,11,12,2,7.1102,0,21007,1869.90824913423
35,5,8,27,15,6.85,0,71573,2147.56186300278
36,6,30,10,22,6.4385,0,381621,2539.03273780484
37,7,6,8,10,8.019,0,32931,0
38,4,6,23,41,7.4224,0,129089,1756.41364704013
39,9,24,26,5,6.4128,0,192605,2334.50824432743
40,1,8,25,13,9.9266,0,56269,0
41,10,23,8,26,6.6191,0,341519,2488.22091657985
42,2,16,8,3,7.732,0,28701,0
43,10,5,11,12,7.8837,0,33866,1831.92725988553
44,2,20,11,47,6.815,0,479781,1367.63954747698
45,1,26,5,35,9.5328,0,458327,898.69897142769
46,7,24,8,17,6.5926,0,235997,2436.53551700144
47,2,12,7,42,7.4799,0,255553,924.723524087545
48,5,16,18,12,6.6241,0,120513,1948.94371557915
49,1,21,19,3,10.2419,0,39562,0
50,10,8,27,26,6.7074,0,124473,2846.27697599103
51,4,13,16,47,6.7397,0,318765,2087.71073971202
52,8,23,10,45,6.5371,0,560215,2402.23290281515
53,4,29,6,44,6.6067,0,657615,2253.72398940714
54,3,10,15,34,6.9276,0,176711,0
55,5,8,24,29,6.8348,0,126605,2045.40707344459
56,3,5,20,44,7.4638,0,113896,0
57,7,23,21,20,6.3994,0,306876,2429.20692147533
58,6,17,26,17,6.5465,0,191353,2402.74618846096
59,3,22,27,1,6.4268,0,49103,2046.05928757439
60,8,28,7,22,6.6622,0,351001,2854.35076844648
61,1,22,13,9,10.0126,0,104923,0
62,4,29,20,23,6.3555,0,396137,2443.53589902643
63,10,14,26,23,6.6577,0,214745,2713.78774805433
64,10,25,24,9,6.4651,0,259931,3015.45738794351
65,5,17,28,27,6.5865,0,272014,2298.32665189588
66,2,5,24,13,7.8614,0,35771,0
67,6,10,12,15,6.9689,0,83761,1544.18047994957
68,8,17,27,44,6.5603,0,438818,2603.66242381812
69,10,18,6,26,7.0279,0,254357,3022.65640615649
70,10,18,29,43,6.5336,0,483045,3140.65733627418
71,1,10,19,5,12.2147,0,28911,0
72,5,27,10,29,6.6984,0,426776,2286.40163279779
73,9,20,22,39,6.4848,0,470161,2779.92301089922
74,1,6,20,21,10.2505,0,65827,0
75,5,19,6,27,6.7653,0,268080,1546.18092381009
76,4,22,25,6,6.4779,0,113509,2254.4798175803
77,3,5,17,44,8.0344,0,113446,0
78,7,15,5,14,7.5448,0,113636,0
79,1,27,29,1,10.7515,0,29208,1075.2280317597
80,9,24,8,13,6.7677,0,197181,2573.73490648399
81,2,24,25,13,6.5991,0,182709,1739.35430766231
82,5,13,27,12,6.6359,0,103578,2158.95985172328
83,2,20,17,41,6.6465,0,424461,1373.78918434295
84,2,5,13,29,7.9496,0,74716,0
85,2,13,9,42,7.4789,0,277728,0
86,9,25,25,23,6.3926,0,425686,2970.4149866253
87,2,9,13,2,7.7516,0,12452,0
88,1,6,11,44,10.5025,0,134207,-1104.60905203619
89,5,22,15,24,6.6002,0,300231,2530.47127298163
90,10,6,28,45,7.4489,0,148393,2649.48173295239
91,10,25,20,46,6.3585,0,698671,3056.0556197755
92,8,25,18,24,6.3231,0,388431,2833.3315770181
93,9,10,11,25,7.308,0,136591,2054.81245680691
94,10,14,5,9,7.8213,0,73541,1770.65089942164
95,3,13,15,22,6.7229,0,152450,1634.62032943146
96,6,27,7,22,6.8742,0,326898,2537.57710344668
97,10,6,6,18,7.8278,0,57085,1864.70962088677
98,3,9,23,19,6.9786,0,93774,1414.89054952276
99,6,17,22,9,6.6981,0,116053,2292.49603705188
