idx,params_1,params_2,params_3,params_4,fitness_1,gen
0,7.0,29.0,18.0,3.0,6.4468,0.0
1,5.0,21.0,20.0,26.0,6.494,0.0
2,5.0,20.0,16.0,38.0,6.7427,0.0
3,4.0,21.0,9.0,19.0,6.669,0.0
4,3.0,29.0,8.0,40.0,6.4249,0.0
5,5.0,22.0,27.0,39.0,6.5301,0.0
6,3.0,14.0,8.0,47.0,6.8093,0.0
7,2.0,26.0,15.0,31.0,6.5533,0.0
8,9.0,8.0,16.0,28.0,6.9193,0.0
9,6.0,24.0,25.0,14.0,6.5094,0.0
10,9.0,20.0,19.0,34.0,6.4813,0.0
11,5.0,6.0,30.0,36.0,6.9401,0.0
12,1.0,7.0,28.0,26.0,7.6671,0.0
13,1.0,24.0,20.0,22.0,7.47,0.0
14,4.0,28.0,15.0,46.0,6.5401,0.0
15,2.0,11.0,23.0,15.0,6.7589,0.0
16,4.0,30.0,9.0,35.0,6.9769,0.0
17,8.0,7.0,7.0,21.0,7.4357,0.0
18,9.0,20.0,8.0,20.0,6.8149,0.0
19,9.0,14.0,27.0,8.0,6.7716,0.0
20,9.0,15.0,22.0,14.0,6.4958,0.0
21,10.0,22.0,23.0,19.0,6.3932,0.0
22,8.0,7.0,24.0,25.0,6.7034,0.0
23,6.0,23.0,12.0,19.0,6.6175,0.0
24,3.0,11.0,10.0,3.0,6.9555,0.0
25,10.0,26.0,13.0,31.0,6.3497,0.0
26,2.0,7.0,26.0,49.0,7.2518,0.0
27,3.0,9.0,6.0,6.0,7.2019,0.0
28,9.0,26.0,17.0,46.0,6.5755,0.0
29,9.0,13.0,21.0,16.0,6.8806,0.0
30,4.0,26.0,23.0,27.0,6.4233,0.0
31,10.0,13.0,19.0,32.0,6.4235,0.0
32,6.0,7.0,15.0,40.0,7.2425,0.0
33,2.0,20.0,23.0,41.0,6.6542,0.0
34,6.0,11.0,12.0,2.0,6.9238,0.0
35,5.0,8.0,27.0,15.0,7.4037,0.0
36,6.0,30.0,10.0,22.0,6.3628,0.0
37,7.0,6.0,8.0,10.0,7.4383,0.0
38,4.0,6.0,23.0,41.0,7.1108,0.0
39,9.0,24.0,26.0,5.0,6.8227,0.0
40,1.0,8.0,25.0,13.0,8.4775,0.0
41,10.0,23.0,8.0,26.0,7.0649,0.0
42,2.0,16.0,8.0,3.0,6.78,0.0
43,10.0,5.0,11.0,12.0,8.1702,0.0
44,2.0,20.0,11.0,47.0,6.7874,0.0
45,1.0,26.0,5.0,35.0,7.9824,0.0
46,7.0,24.0,8.0,17.0,6.6529,0.0
47,2.0,12.0,7.0,42.0,7.1482,0.0
48,5.0,16.0,18.0,12.0,6.5737,0.0
49,1.0,21.0,19.0,3.0,8.5346,0.0
50,10.0,8.0,27.0,26.0,7.0031,0.0
51,4.0,13.0,16.0,47.0,6.8574,0.0
52,8.0,23.0,10.0,45.0,6.8798,0.0
53,4.0,29.0,6.0,44.0,6.5646,0.0
54,3.0,10.0,15.0,34.0,6.7891,0.0
55,5.0,8.0,24.0,29.0,6.9827,0.0
56,3.0,5.0,20.0,44.0,7.1225,0.0
57,7.0,23.0,21.0,20.0,6.4471,0.0
58,6.0,17.0,26.0,17.0,6.491,0.0
59,3.0,22.0,27.0,1.0,6.4858,0.0
60,8.0,28.0,7.0,22.0,6.3486,0.0
61,1.0,22.0,13.0,9.0,8.4495,0.0
62,4.0,29.0,20.0,23.0,6.4993,0.0
63,10.0,14.0,26.0,23.0,6.5794,0.0
64,10.0,25.0,24.0,9.0,6.4719,0.0
65,5.0,17.0,28.0,27.0,6.5112,0.0
66,2.0,5.0,24.0,13.0,7.8536,0.0
67,6.0,10.0,12.0,15.0,6.9265,0.0
68,8.0,17.0,27.0,44.0,6.5989,0.0
69,10.0,18.0,6.0,26.0,6.5043,0.0
70,10.0,18.0,29.0,43.0,6.7298,0.0
71,1.0,10.0,19.0,5.0,9.3569,0.0
72,5.0,27.0,10.0,29.0,6.9863,0.0
73,9.0,20.0,22.0,39.0,6.4423,0.0
74,1.0,6.0,20.0,21.0,8.7047,0.0
75,5.0,19.0,6.0,27.0,6.6183,0.0
76,4.0,22.0,25.0,6.0,6.978,0.0
77,3.0,5.0,17.0,44.0,7.5941,0.0
78,7.0,15.0,5.0,14.0,6.8548,0.0
79,1.0,27.0,29.0,1.0,8.7021,0.0
80,9.0,24.0,8.0,13.0,6.8199,0.0
81,2.0,24.0,25.0,13.0,6.5974,0.0
82,5.0,13.0,27.0,12.0,6.694,0.0
83,2.0,20.0,17.0,41.0,6.5206,0.0
84,2.0,5.0,13.0,29.0,7.962,0.0
85,2.0,13.0,9.0,42.0,6.988,0.0
86,9.0,25.0,25.0,23.0,6.1969,0.0
87,2.0,9.0,13.0,2.0,7.3677,0.0
88,1.0,6.0,11.0,44.0,8.6699,0.0
89,5.0,22.0,15.0,24.0,6.5238,0.0
90,10.0,6.0,28.0,45.0,7.0836,0.0
91,10.0,25.0,20.0,46.0,6.6623,0.0
92,8.0,25.0,18.0,24.0,8.1685,0.0
93,9.0,10.0,11.0,25.0,6.7552,0.0
94,10.0,14.0,5.0,9.0,6.9481,0.0
95,3.0,13.0,15.0,22.0,6.9166,0.0
96,6.0,27.0,7.0,22.0,6.6691,0.0
97,10.0,6.0,6.0,18.0,8.8389,0.0
98,3.0,9.0,23.0,19.0,6.8896,0.0
99,6.0,17.0,22.0,9.0,6.5795,0.0
