idx,params_1,params_2,params_3,params_4,params_5,fitness_1,gen,train_params,archt_scores
0,7.0,25.0,29.0,27.0,1.0,1226041855.0018,0.0,461466,717.2789475183379
1,5.0,17.0,16.0,26.0,3.0,6.9264,0.0,245542,635.8404783397352
2,8.0,12.0,19.0,14.0,5.0,7.3313,0.0,108089,644.5296372433966
3,3.0,10.0,5.0,49.0,1.0,22.3832,0.0,248011,453.283516567911
4,10.0,26.0,9.0,35.0,5.0,6.9243,0.0,515397,786.1951361939122
5,3.0,10.0,4.0,47.0,1.0,22.4857,0.0,237571,404.36543172509386
6,6.0,16.0,18.0,7.0,3.0,6.7597,0.0,85037,612.3790679102615
7,7.0,11.0,20.0,41.0,2.0,22.3765,0.0,245318,621.5872205133317
8,9.0,16.0,15.0,34.0,3.0,8.0021,0.0,308345,702.2104170131286
9,1.0,26.0,30.0,36.0,1.0,15.2216,0.0,484347,506.53126203182666
10,2.0,24.0,27.0,26.0,1.0,22.3986,0.0,341081,568.9807899657154
11,10.0,16.0,27.0,22.0,2.0,22.3732,0.0,247449,630.9314870258436
12,6.0,23.0,28.0,5.0,2.0,22.4035,0.0,144679,704.0239274804159
13,10.0,8.0,8.0,10.0,5.0,9.9802,0.0,46169,707.9603432228278
14,8.0,3.0,3.0,21.0,5.0,23.044,0.0,32314,-inf
15,8.0,4.0,10.0,36.0,3.0,7.6533,0.0,74673,447.6674203442986
16,2.0,18.0,11.0,35.0,2.0,7.9975,0.0,323261,544.1616756794677
17,10.0,18.0,19.0,19.0,4.0,7.377,0.0,233805,771.5656692996272
18,2.0,20.0,26.0,25.0,3.0,7.7982,0.0,271341,517.7164059874631
19,10.0,8.0,10.0,12.0,2.0,22.3736,0.0,55681,719.0508677322365
20,3.0,2.0,20.0,43.0,3.0,7.2443,0.0,44827,392.67098086833334
21,8.0,3.0,3.0,44.0,2.0,22.2409,0.0,67274,-inf
22,3.0,30.0,2.0,6.0,5.0,22.5441,0.0,95011,-inf
23,7.0,27.0,23.0,34.0,3.0,6.5364,0.0,572892,768.3151764662045
24,9.0,26.0,8.0,14.0,5.0,7.1855,0.0,229939,744.5739692951325
25,7.0,19.0,9.0,29.0,4.0,6.7256,0.0,299128,624.9425218658873
26,6.0,3.0,11.0,40.0,1.0,22.3871,0.0,61974,-inf
27,8.0,19.0,21.0,22.0,2.0,22.3739,0.0,270640,694.7547687054291
28,4.0,1.0,24.0,18.0,1.0,22.4067,0.0,9917,-inf
29,4.0,12.0,26.0,11.0,3.0,7.1937,0.0,83741,595.9838223409301
30,7.0,27.0,2.0,7.0,2.0,8.64,0.0,104658,754.0112987066149
31,4.0,2.0,27.0,37.0,5.0,20.0223,0.0,39153,319.4170883275833
32,10.0,22.0,3.0,2.0,1.0,39.6195,0.0,36649,775.631131306433
33,4.0,20.0,27.0,37.0,1.0,22.3751,0.0,414021,635.8038399037603
34,7.0,3.0,12.0,8.0,1.0,22.3888,0.0,13550,-inf
35,10.0,1.0,7.0,12.0,1.0,22.446,0.0,6454,-inf
36,8.0,7.0,24.0,4.0,1.0,22.3727,0.0,25729,463.65422422693314
37,9.0,14.0,20.0,7.0,3.0,6.8574,0.0,86227,651.2154827600698
38,2.0,8.0,3.0,42.0,3.0,7.051,0.0,169529,-inf
39,6.0,14.0,6.0,4.0,5.0,12.1505,0.0,35725,598.8635586175449
40,8.0,2.0,20.0,7.0,4.0,7.3938,0.0,8517,507.1893120495863
41,4.0,9.0,12.0,47.0,4.0,6.7401,0.0,217553,590.9735518177796
42,10.0,6.0,23.0,44.0,2.0,22.3733,0.0,143153,693.8266462643452
43,1.0,26.0,22.0,11.0,2.0,7.0757,0.0,154687,461.9865526132306
44,6.0,17.0,9.0,8.0,5.0,8.3906,0.0,84328,672.4004367158092
45,8.0,22.0,6.0,1.0,4.0,6.3972,0.0,34165,779.0913691014564
46,7.0,29.0,19.0,33.0,3.0,7.3633,0.0,586258,765.468484678778
47,6.0,13.0,27.0,43.0,3.0,7.4338,0.0,310274,666.1657074049568
48,3.0,18.0,23.0,1.0,4.0,6.7771,0.0,32259,594.986358231967
49,2.0,11.0,24.0,3.0,5.0,16.2808,0.0,24767,430.74801087889375
50,5.0,5.0,8.0,49.0,4.0,7.3521,0.0,125106,508.57671789403577
51,6.0,20.0,10.0,44.0,3.0,7.0346,0.0,465001,732.280947365452
52,10.0,29.0,21.0,40.0,2.0,22.3742,0.0,752220,831.7244597656133
53,5.0,13.0,24.0,27.0,1.0,22.3913,0.0,198570,632.8216460712773
54,1.0,20.0,7.0,45.0,3.0,7.3443,0.0,453721,420.3249316047656
55,3.0,8.0,8.0,41.0,4.0,7.0055,0.0,167149,507.2649678120081
56,7.0,23.0,29.0,44.0,5.0,6.6996,0.0,612428,735.0050824484317
57,7.0,2.0,13.0,45.0,5.0,22.3882,0.0,46747,562.6873731447972
58,7.0,25.0,22.0,46.0,1.0,22.3728,0.0,669596,745.6384806203034
59,3.0,15.0,3.0,17.0,2.0,8.3222,0.0,130136,-inf
60,8.0,17.0,29.0,32.0,5.0,6.8367,0.0,341304,756.4853229656657
61,10.0,25.0,1.0,3.0,4.0,7.0513,0.0,43936,585.358323630255
62,6.0,10.0,27.0,30.0,1.0,41.2299,0.0,169561,620.405145667904
63,7.0,7.0,18.0,41.0,1.0,22.3749,0.0,152182,541.138815431244
64,3.0,1.0,13.0,44.0,4.0,9.1571,0.0,23170,-inf
65,6.0,1.0,7.0,1.0,1.0,22.4005,0.0,702,-inf
66,9.0,20.0,4.0,13.0,1.0,34.4719,0.0,144841,758.6465577290815
67,10.0,21.0,7.0,20.0,3.0,6.4848,0.0,241334,677.3410235561578
68,3.0,4.0,16.0,26.0,1.0,22.4381,0.0,54325,386.48829857479603
69,1.0,9.0,30.0,29.0,1.0,19.7726,0.0,136490,407.11094749706086
70,5.0,5.0,21.0,34.0,3.0,7.208,0.0,89906,504.4663580219062
71,2.0,28.0,5.0,18.0,1.0,22.3845,0.0,259137,469.47686811113414
72,1.0,2.0,7.0,44.0,3.0,7.2644,0.0,45163,-inf
73,9.0,11.0,12.0,37.0,1.0,43.7914,0.0,218596,706.070570652596
74,10.0,21.0,16.0,46.0,4.0,6.788,0.0,554355,695.2795858618244
75,7.0,12.0,28.0,35.0,2.0,22.3734,0.0,241697,709.7647745775479
76,4.0,13.0,19.0,19.0,1.0,22.3823,0.0,138506,614.7943499688155
77,3.0,5.0,9.0,22.0,3.0,7.1898,0.0,56806,-inf
78,6.0,23.0,3.0,22.0,5.0,18.3654,0.0,262894,574.2402524405754
79,1.0,2.0,9.0,11.0,2.0,7.2093,0.0,11583,-inf
80,10.0,10.0,12.0,26.0,5.0,8.609,0.0,143821,569.8543670995655
81,3.0,10.0,4.0,31.0,2.0,7.1088,0.0,157251,380.3936061674624
82,1.0,10.0,6.0,34.0,1.0,14.8838,0.0,171891,274.5966080497633
83,5.0,13.0,27.0,22.0,3.0,8.628,0.0,168778,639.0080667674172
84,7.0,4.0,4.0,36.0,4.0,7.8147,0.0,73453,-inf
85,8.0,11.0,27.0,22.0,1.0,22.3875,0.0,150338,662.6861559902679
86,8.0,4.0,23.0,32.0,4.0,7.4477,0.0,69089,616.4454967512823
87,1.0,10.0,11.0,48.0,2.0,7.99,0.0,243171,427.54046689410137
